user_id,total_sessions,returned_next_day,returned_after_7_days,returned_after_30_days,days_until_last_session,churned,churn_reason
USR_00001,11,0,0,0,118,0,Not Churned
USR_00002,45,0,0,1,104,0,Not Churned
USR_00003,9,0,0,0,13,0,Not Churned
USR_00004,10,0,0,0,8,0,Not Churned
USR_00005,1,0,0,0,0,1,Found another app
USR_00006,6,0,0,0,4,0,Not Churned
USR_00007,1,0,0,0,1,1,AI responses unhelpful
USR_00008,15,0,0,0,98,0,Not Churned
USR_00009,9,0,0,0,6,0,Not Churned
USR_00010,7,0,0,0,19,0,Not Churned
USR_00011,54,0,0,1,76,0,Not Churned
USR_00012,14,0,0,0,54,0,Not Churned
USR_00013,5,0,0,0,17,0,Not Churned
USR_00014,7,0,0,0,7,0,Not Churned
USR_00015,9,0,0,0,15,0,Not Churned
USR_00016,11,0,0,0,102,0,Not Churned
USR_00017,6,0,0,0,5,0,Not Churned
USR_00018,11,0,0,0,70,0,Not Churned
USR_00019,2,0,0,0,2,1,Found another app
USR_00020,48,0,0,1,81,0,Not Churned
USR_00021,7,0,0,0,19,0,Not Churned
USR_00022,4,0,0,0,4,1,AI responses unhelpful
USR_00023,16,0,0,1,98,0,Not Churned
USR_00024,2,0,0,0,2,1,Found another app
USR_00025,16,0,0,1,83,0,Not Churned
USR_00026,20,0,0,1,76,0,Not Churned
USR_00027,0,0,0,0,1,1,App crashes/Bugs
USR_00028,2,0,0,0,1,1,Too expensive
USR_00029,1,0,0,0,0,1,Just trying it out
USR_00030,27,0,0,1,62,0,Not Churned
USR_00031,18,0,0,1,50,0,Not Churned
USR_00032,31,0,0,1,52,0,Not Churned
USR_00033,27,0,0,1,115,0,Not Churned
USR_00034,12,0,0,0,32,0,Not Churned
USR_00035,15,0,0,0,79,0,Not Churned
USR_00036,30,0,0,1,58,0,Not Churned
USR_00037,25,0,0,1,50,0,Not Churned
USR_00038,7,0,0,0,11,0,Not Churned
USR_00039,6,0,0,0,14,0,Not Churned
USR_00040,10,0,0,0,13,0,Not Churned
USR_00041,5,0,0,0,10,0,Not Churned
USR_00042,9,0,0,0,10,0,Not Churned
USR_00043,5,0,0,0,6,0,Not Churned
USR_00044,16,0,0,1,30,0,Not Churned
USR_00045,25,0,0,1,44,0,Not Churned
USR_00046,6,0,0,0,11,0,Not Churned
USR_00047,10,0,0,0,6,0,Not Churned
USR_00048,33,0,0,1,33,0,Not Churned
USR_00049,26,0,0,1,58,0,Not Churned
USR_00050,21,0,0,1,99,0,Not Churned
USR_00051,14,0,0,0,69,0,Not Churned
USR_00052,25,0,0,1,92,0,Not Churned
USR_00053,30,0,0,1,60,0,Not Churned
USR_00054,33,0,0,1,87,0,Not Churned
USR_00055,17,0,0,1,30,0,Not Churned
USR_00056,4,0,0,0,4,1,Too expensive
USR_00057,0,0,0,0,0,1,Found another app
USR_00058,21,0,0,1,105,0,Not Churned
USR_00059,2,0,0,0,0,1,Just trying it out
USR_00060,28,0,0,1,24,0,Not Churned
USR_00061,7,0,0,0,10,0,Not Churned
USR_00062,27,0,0,1,23,0,Not Churned
USR_00063,11,0,0,0,95,0,Not Churned
USR_00064,14,0,0,0,84,0,Not Churned
USR_00065,5,0,0,0,9,0,Not Churned
USR_00066,0,0,0,0,0,1,Too expensive
USR_00067,0,0,0,0,0,1,Found another app
USR_00068,13,0,0,0,42,0,Not Churned
USR_00069,39,0,0,1,104,0,Not Churned
USR_00070,12,0,0,0,52,0,Not Churned
USR_00071,30,0,0,1,117,0,Not Churned
USR_00072,118,0,0,1,38,0,Not Churned
USR_00073,7,0,0,0,15,0,Not Churned
USR_00074,17,0,0,1,88,0,Not Churned
USR_00075,10,0,0,0,4,0,Not Churned
USR_00076,5,0,0,0,5,0,Not Churned
USR_00077,4,0,0,0,14,1,App crashes/Bugs
USR_00078,6,0,0,0,8,0,Not Churned
USR_00079,30,0,0,1,98,0,Not Churned
USR_00080,6,0,0,0,16,0,Not Churned
USR_00081,5,0,0,0,13,0,Not Churned
USR_00082,40,0,0,1,72,0,Not Churned
USR_00083,0,0,0,0,0,1,App crashes/Bugs
USR_00084,20,0,0,1,80,0,Not Churned
USR_00085,43,0,0,1,24,0,Not Churned
USR_00086,20,0,0,1,39,0,Not Churned
USR_00087,11,0,0,0,33,0,Not Churned
USR_00088,0,0,0,0,0,1,Found another app
USR_00089,10,0,0,0,13,0,Not Churned
USR_00090,6,0,0,0,16,0,Not Churned
USR_00091,16,0,0,1,53,0,Not Churned
USR_00092,33,0,0,1,26,0,Not Churned
USR_00093,0,0,0,0,2,1,Found another app
USR_00094,12,0,0,0,109,0,Not Churned
USR_00095,29,0,0,1,52,0,Not Churned
USR_00096,15,0,0,0,74,0,Not Churned
USR_00097,8,0,0,0,8,0,Not Churned
USR_00098,40,0,0,1,80,0,Not Churned
USR_00099,56,0,0,1,26,0,Not Churned
USR_00100,4,0,0,0,7,1,Too expensive
USR_00101,0,0,0,0,0,1,Too expensive
USR_00102,26,0,0,1,62,0,Not Churned
USR_00103,6,0,0,0,8,0,Not Churned
USR_00104,30,0,0,1,114,0,Not Churned
USR_00105,8,0,0,0,15,0,Not Churned
USR_00106,0,0,0,0,2,1,AI responses unhelpful
USR_00107,8,0,0,0,18,0,Not Churned
USR_00108,0,0,0,0,0,1,AI responses unhelpful
USR_00109,7,0,0,0,13,0,Not Churned
USR_00110,9,0,0,0,17,0,Not Churned
USR_00111,0,0,0,0,0,1,Too expensive
USR_00112,1,0,0,0,1,1,App crashes/Bugs
USR_00113,3,0,0,0,14,1,Found another app
USR_00114,8,0,0,0,19,0,Not Churned
USR_00115,53,0,0,1,82,0,Not Churned
USR_00116,1,0,0,0,2,1,Slow response times
USR_00117,14,0,0,0,118,0,Not Churned
USR_00118,14,0,0,0,88,0,Not Churned
USR_00119,0,0,0,0,1,1,App crashes/Bugs
USR_00120,0,0,0,0,0,1,AI responses unhelpful
USR_00121,5,0,0,0,5,0,Not Churned
USR_00122,21,0,0,1,108,0,Not Churned
USR_00123,57,0,0,1,52,0,Not Churned
USR_00124,9,0,0,0,10,0,Not Churned
USR_00125,1,0,0,0,0,1,Found another app
USR_00126,6,0,0,0,18,0,Not Churned
USR_00127,38,0,0,1,77,0,Not Churned
USR_00128,1,0,0,0,1,1,AI responses unhelpful
USR_00129,15,0,0,0,39,0,Not Churned
USR_00130,2,0,0,0,1,1,AI responses unhelpful
USR_00131,1,0,0,0,0,1,App crashes/Bugs
USR_00132,2,0,0,0,0,1,Slow response times
USR_00133,35,0,0,1,76,0,Not Churned
USR_00134,27,0,0,1,76,0,Not Churned
USR_00135,2,0,0,0,1,1,Slow response times
USR_00136,1,0,0,0,1,1,App crashes/Bugs
USR_00137,16,0,0,1,93,0,Not Churned
USR_00138,0,0,0,0,1,1,Slow response times
USR_00139,9,0,0,0,18,0,Not Churned
USR_00140,22,0,0,1,81,0,Not Churned
USR_00141,11,0,0,0,62,0,Not Churned
USR_00142,38,0,0,1,44,0,Not Churned
USR_00143,20,0,0,1,103,0,Not Churned
USR_00144,15,0,0,0,65,0,Not Churned
USR_00145,32,0,0,1,56,0,Not Churned
USR_00146,3,0,0,0,15,1,App crashes/Bugs
USR_00147,3,0,0,0,4,1,Found another app
USR_00148,20,0,0,1,52,0,Not Churned
USR_00149,0,0,0,0,0,1,Slow response times
USR_00150,0,0,0,0,0,1,Found another app
USR_00151,11,0,0,0,107,0,Not Churned
USR_00152,39,0,0,1,117,0,Not Churned
USR_00153,63,0,0,1,86,0,Not Churned
USR_00154,19,0,0,1,57,0,Not Churned
USR_00155,47,0,0,1,91,0,Not Churned
USR_00156,36,0,0,1,92,0,Not Churned
USR_00157,2,0,0,0,1,1,Slow response times
USR_00158,6,0,0,0,19,0,Not Churned
USR_00159,16,0,0,1,84,0,Not Churned
USR_00160,2,0,0,0,2,1,Found another app
USR_00161,8,0,0,0,7,0,Not Churned
USR_00162,17,0,0,1,94,0,Not Churned
USR_00163,4,0,0,0,5,1,Slow response times
USR_00164,39,0,0,1,37,0,Not Churned
USR_00165,3,0,0,0,14,1,Found another app
USR_00166,4,0,0,0,13,1,Slow response times
USR_00167,6,0,0,0,18,0,Not Churned
USR_00168,17,0,0,1,96,0,Not Churned
USR_00169,5,0,0,0,19,0,Not Churned
USR_00170,3,0,0,0,4,1,Slow response times
USR_00171,27,0,0,1,75,0,Not Churned
USR_00172,8,0,0,0,7,0,Not Churned
USR_00173,24,0,0,1,23,0,Not Churned
USR_00174,11,0,0,0,22,0,Not Churned
USR_00175,48,0,0,1,57,0,Not Churned
USR_00176,8,0,0,0,12,0,Not Churned
USR_00177,2,0,0,0,0,1,Slow response times
USR_00178,17,0,0,1,106,0,Not Churned
USR_00179,15,0,0,0,33,0,Not Churned
USR_00180,0,0,0,0,2,1,Just trying it out
USR_00181,16,0,0,1,22,0,Not Churned
USR_00182,2,0,0,0,2,1,App crashes/Bugs
USR_00183,31,0,0,1,33,0,Not Churned
USR_00184,14,0,0,0,117,0,Not Churned
USR_00185,3,0,0,0,15,1,AI responses unhelpful
USR_00186,2,0,0,0,1,1,App crashes/Bugs
USR_00187,31,0,0,1,117,0,Not Churned
USR_00188,26,0,0,1,44,0,Not Churned
USR_00189,6,0,0,0,12,0,Not Churned
USR_00190,0,0,0,0,0,1,App crashes/Bugs
USR_00191,8,0,0,0,11,0,Not Churned
USR_00192,20,0,0,1,33,0,Not Churned
USR_00193,18,0,0,1,23,0,Not Churned
USR_00194,26,0,0,1,109,0,Not Churned
USR_00195,24,0,0,1,21,0,Not Churned
USR_00196,9,0,0,0,9,0,Not Churned
USR_00197,3,0,0,0,17,1,Just trying it out
