subscription_id,user_id,subscription_type,subscription_start_date,subscription_end_date,payment_method,premium_offer_shown,premium_offer_clicked,upgraded_to_premium
SUB_0001,USR_07386,Annual Premium,2025-01-06,2025-02-05,Credit Card,1,1,1
SUB_0002,USR_02766,Monthly Premium,2025-04-21,2025-05-21,Google Pay,1,1,1
SUB_0003,USR_05734,Monthly Premium,2025-03-15,,Credit Card,1,1,1
SUB_0004,USR_01452,Monthly Premium,2025-06-17,2025-07-17,Credit Card,1,1,1
SUB_0005,USR_03933,Monthly Premium,2025-02-22,2025-03-24,PayPal,1,1,1
SUB_0006,USR_05402,Monthly Premium,2025-06-27,,Credit Card,1,1,1
SUB_0007,USR_04391,Annual Premium,2025-02-25,,Apple Pay,1,1,1
SUB_0008,USR_00532,Monthly Premium,2025-04-12,2025-05-12,Apple Pay,1,1,1
SUB_0009,USR_08627,Monthly Premium,2025-02-02,2025-03-04,Credit Card,1,1,1
SUB_0010,USR_01030,Monthly Premium,2025-02-13,2025-03-15,Credit Card,1,1,1
SUB_0011,USR_04667,Monthly Premium,2025-03-28,2025-04-27,Apple Pay,1,1,1
SUB_0012,USR_01167,Monthly Premium,2025-01-20,2025-02-19,Apple Pay,1,1,1
SUB_0013,USR_04647,Annual Premium,2025-02-22,,PayPal,1,1,1
SUB_0014,USR_09268,Monthly Premium,2025-06-20,,Google Pay,1,1,1
SUB_0015,USR_00339,Monthly Premium,2025-02-25,2025-03-27,PayPal,1,1,1
SUB_0016,USR_00661,Monthly Premium,2025-01-08,,Apple Pay,1,1,1
SUB_0017,USR_00997,Monthly Premium,2025-05-02,,Credit Card,1,1,1
SUB_0018,USR_07901,Monthly Premium,2025-05-14,,Google Pay,1,1,1
SUB_0019,USR_01009,Annual Premium,2025-03-13,,Credit Card,1,1,1
SUB_0020,USR_06960,Monthly Premium,2025-05-31,2025-06-30,Credit Card,1,0,1
SUB_0021,USR_02059,Annual Premium,2025-04-04,,Credit Card,1,1,1
SUB_0022,USR_02329,Monthly Premium,2025-02-10,,Apple Pay,1,1,1
SUB_0023,USR_00936,Annual Premium,2025-04-04,,Credit Card,1,1,1
SUB_0024,USR_06491,Monthly Premium,2025-04-29,2025-05-29,Apple Pay,1,1,1
SUB_0025,USR_08351,Monthly Premium,2025-01-08,,Apple Pay,1,1,1
SUB_0026,USR_06900,Monthly Premium,2025-06-04,,PayPal,1,1,1
