user_id,signup_date,country,age_group,gender,device_type,operating_system,subscription_type,preferred_language,referral_source
USR_00001,2025-04-13,CA,25-34,Female,Tablet,iOS,Free,Spanish,App Store
USR_00002,2025-06-29,US,25-34,Male,Mobile,Android,Free,English,App Store
USR_00003,2025-04-03,UK,45+,Female,Mobile,iOS,Free,English,Google Ads
USR_00004,2025-01-15,US,35-44,Male,Mobile,iOS,Premium,English,TikTok
USR_00005,2025-04-17,US,35-44,Male,Mobile,iOS,Free,English,Google Ads
USR_00006,2025-03-13,US,25-34,Male,Mobile,iOS,Free,Spanish,App Store
USR_00007,2025-01-21,UK,25-34,Female,Mobile,Android,Premium,English,Instagram
USR_00008,2025-04-13,CA,25-34,Female,Mobile,iOS,Free,German,App Store
USR_00009,2025-05-02,US,25-34,Male,Mobile,iOS,Premium,English,TikTok
USR_00010,2025-03-16,UK,25-34,Female,Mobile,iOS,Free,Spanish,Instagram
USR_00011,2025-03-29,US,18-24,Female,Mobile,Android,Free,English,TikTok
USR_00012,2025-04-27,CA,18-24,Male,Mobile,iOS,Free,English,Google Ads
USR_00013,2025-04-10,CA,25-34,Female,Mobile,Android,Premium,English,TikTok
USR_00014,2025-04-14,CA,35-44,Female,Mobile,Android,Free,English,App Store
USR_00015,2025-06-01,IN,45+,Male,Mobile,Android,Premium,Spanish,App Store
USR_00016,2025-05-11,US,25-34,Prefer not to say,Mobile,Android,Premium,German,TikTok
USR_00017,2025-05-30,IN,25-34,Male,Mobile,iOS,Premium,German,App Store
USR_00018,2025-02-22,UK,18-24,Female,Mobile,iOS,Free,English,Instagram
USR_00019,2025-01-02,UK,45+,Female,Mobile,Android,Premium,Spanish,TikTok
USR_00020,2025-03-29,CA,25-34,Female,Mobile,iOS,Premium,Spanish,Google Ads
USR_00021,2025-06-07,US,35-44,Female,Mobile,iOS,Free,English,App Store
USR_00022,2025-02-07,AU,35-44,Male,Mobile,iOS,Premium,English,App Store
USR_00023,2025-05-10,CA,18-24,Female,Mobile,Android,Premium,English,Google Ads
USR_00024,2025-01-21,US,25-34,Female,Mobile,iOS,Free,English,Instagram
USR_00025,2025-06-10,US,45+,Non-binary,Mobile,iOS,Free,Spanish,App Store
USR_00026,2025-02-27,US,18-24,Male,Mobile,Android,Free,English,TikTok
USR_00027,2025-01-22,DE,25-34,Male,Mobile,iOS,Free,English,Instagram
USR_00028,2025-03-30,AU,45+,Male,Mobile,iOS,Free,English,TikTok
USR_00029,2025-02-18,US,25-34,Male,Mobile,iOS,Free,English,App Store
USR_00030,2025-02-28,US,35-44,Female,Mobile,iOS,Free,English,Instagram
USR_00031,2025-06-19,CA,45+,Female,Mobile,iOS,Free,English,App Store
USR_00032,2025-01-15,IN,35-44,Female,Mobile,iOS,Free,English,TikTok
USR_00033,2025-06-24,US,18-24,Female,Mobile,Android,Free,English,Organic
USR_00034,2025-02-20,US,25-34,Male,Mobile,Android,Free,English,App Store
USR_00035,2025-04-18,IN,18-24,Female,Desktop,Windows,Premium,Hindi,App Store
USR_00036,2025-02-24,US,35-44,Female,Mobile,Android,Free,Spanish,Instagram
USR_00037,2025-03-05,US,35-44,Female,Mobile,iOS,Free,English,Google Ads
USR_00038,2025-05-11,DE,25-34,Female,Tablet,iOS,Premium,Spanish,Organic
USR_00039,2025-02-20,CA,25-34,Male,Desktop,MacOS,Premium,English,Organic
USR_00040,2025-05-15,US,18-24,Male,Mobile,iOS,Premium,English,TikTok
USR_00041,2025-01-21,US,35-44,Male,Mobile,Android,Free,German,Google Ads
USR_00042,2025-03-14,US,35-44,Female,Mobile,iOS,Premium,English,App Store
USR_00043,2025-06-16,US,45+,Male,Mobile,iOS,Free,Spanish,App Store
USR_00044,2025-01-18,IN,35-44,Male,Desktop,Windows,Free,English,App Store
USR_00045,2025-05-12,UK,35-44,Male,Mobile,iOS,Free,English,Google Ads
USR_00046,2025-03-30,IN,35-44,Non-binary,Tablet,iOS,Premium,English,App Store
USR_00047,2025-03-01,DE,25-34,Prefer not to say,Mobile,iOS,Free,English,TikTok
USR_00048,2025-01-14,UK,25-34,Prefer not to say,Mobile,iOS,Free,English,TikTok
USR_00049,2025-01-09,US,45+,Male,Desktop,MacOS,Premium,English,Organic
USR_00050,2025-03-31,UK,25-34,Non-binary,Mobile,Android,Free,English,App Store
USR_00051,2025-02-22,DE,25-34,Female,Mobile,Android,Premium,English,App Store
USR_00052,2025-05-10,IN,18-24,Male,Tablet,iOS,Free,Spanish,Google Ads
USR_00053,2025-03-25,US,18-24,Non-binary,Mobile,iOS,Free,English,Organic
USR_00054,2025-04-02,AU,25-34,Non-binary,Mobile,Android,Premium,English,App Store
USR_00055,2025-04-21,CA,18-24,Male,Mobile,iOS,Free,English,Organic
USR_00056,2025-06-21,DE,18-24,Female,Mobile,iOS,Premium,English,Instagram
USR_00057,2025-01-08,US,25-34,Female,Mobile,Android,Free,Hindi,Google Ads
USR_00058,2025-06-24,UK,18-24,Female,Tablet,iOS,Premium,English,App Store
USR_00059,2025-02-04,IN,35-44,Male,Mobile,Android,Premium,English,App Store
USR_00060,2025-03-22,UK,25-34,Female,Mobile,iOS,Free,English,App Store
USR_00061,2025-06-13,UK,25-34,Female,Mobile,Android,Premium,English,App Store
USR_00062,2025-02-19,US,18-24,Male,Mobile,iOS,Free,Hindi,App Store
USR_00063,2025-04-14,US,25-34,Male,Mobile,Android,Free,English,Instagram
USR_00064,2025-05-12,US,25-34,Non-binary,Desktop,Windows,Free,English,App Store
USR_00065,2025-01-02,DE,35-44,Male,Desktop,MacOS,Free,English,App Store
USR_00066,2025-05-14,US,35-44,Male,Mobile,iOS,Free,English,TikTok
USR_00067,2025-02-23,UK,18-24,Male,Mobile,Android,Free,Spanish,Google Ads
USR_00068,2025-04-16,AU,25-34,Male,Mobile,Android,Premium,German,App Store
USR_00069,2025-01-04,US,18-24,Female,Mobile,iOS,Free,Spanish,App Store
USR_00070,2025-02-23,UK,45+,Female,Mobile,iOS,Free,English,Google Ads
USR_00071,2025-05-26,IN,45+,Non-binary,Tablet,Android,Free,English,Instagram
USR_00072,2025-02-13,IN,25-34,Male,Mobile,iOS,Premium,English,Instagram
USR_00073,2025-06-11,CA,25-34,Male,Mobile,Android,Free,English,App Store
USR_00074,2025-01-14,AU,35-44,Female,Mobile,iOS,Premium,German,App Store
USR_00075,2025-04-05,US,35-44,Female,Mobile,Android,Premium,English,Google Ads
USR_00076,2025-02-17,DE,25-34,Male,Mobile,iOS,Free,English,Google Ads
